player_name,team_name,position
LeBron James,LAL,SF
Anthony Davis,LAL,PF
D'Angelo Russell,LAL,PG
Austin Reaves,LAL,SG
Jarred Vanderbilt,LAL,C
Stephen Curry,GSW,PG
Klay Thompson,GSW,SG
Draymond Green,GSW,PF
Kevon Looney,GSW,C
Andrew Wiggins,GSW,SF
Giannis Antetokounmpo,MIL,PF
Khris Middleton,MIL,SF
Jrue Holiday,MIL,PG
Brook Lopez,MIL,C
Grayson Allen,MIL,SG
Kevin Durant,BKN,SF
Kyrie Irving,BKN,PG
Ben Simmons,BKN,PF
Nicolas Claxton,BKN,C
Joe Harris,BKN,SG
Joel Embiid,PHI,C
James Harden,PHI,SG
Tyrese Maxey,PHI,PG
Tobias Harris,PHI,PF
PJ Tucker,PHI,SF
Luka Doncic,DAL,PG
Kyrie Irving,DAL,SG
Christian Wood,DAL,C
Dorian Finney-Smith,DAL,SF
Reggie Bullock,DAL,SF
Jayson Tatum,BOS,SF
Jaylen Brown,BOS,SG
Marcus Smart,BOS,PG
Robert Williams,BOS,C
Al Horford,BOS,PF
Nikola Jokic,DEN,C
Jamal Murray,DEN,PG
Michael Porter Jr,DEN,SF
Aaron Gordon,DEN,PF
Kentavious Caldwell-Pope,DEN,SG
Damian Lillard,POR,PG
CJ McCollum,POR,SG
Jusuf Nurkic,POR,C
Anfernee Simons,POR,SG
Scoot Henderson,POR,PG
Devin Booker,PHX,SG
Kevin Durant,PHX,SF
Deandre Ayton,PHX,C
Chris Paul,PHX,PG
Mikal Bridges,PHX,SF
Anthony Edwards,MIN,SG
Karl-Anthony Towns,MIN,C
Rudy Gobert,MIN,C
D'Angelo Russell,MIN,PG
Jaden McDaniels,MIN,SF
Bradley Beal,WAS,SG
Kristaps Porzingis,WAS,C
Davis Bertans,WAS,PF
Kyle Kuzma,WAS,SF
Spencer Dinwiddie,WAS,PG
Ja Morant,MEM,PG
Jaren Jackson Jr,MEM,PF
Desmond Bane,MEM,SG
Steven Adams,MEM,C
Tyus Jones,MEM,PG
Donovan Mitchell,CLE,SG
Evan Mobley,CLE,C
Darius Garland,CLE,PG
Jarrett Allen,CLE,C
Caris LeVert,CLE,SG
Zion Williamson,NOP,PF
CJ McCollum,NOP,SG
Brandon Ingram,NOP,SF
Jonas Valanciunas,NOP,C
Herb Jones,NOP,SF
Jimmy Butler,MIA,SF
Bam Adebayo,MIA,C
Kyle Lowry,MIA,PG
Tyler Herro,MIA,SG
Duncan Robinson,MIA,SG
De'Aaron Fox,SAC,PG
Domantas Sabonis,SAC,PF
Harrison Barnes,SAC,SF
Richaun Holmes,SAC,C
Keegan Murray,SAC,SF
Trae Young,ATL,PG
Dejounte Murray,ATL,PG
John Collins,ATL,PF
Clint Capela,ATL,C
Bogdan Bogdanovic,ATL,SG
Bradley Beal,WAS,SG
Dejounte Murray,ATL,PG
Pascal Siakam,TOR,PF
Fred VanVleet,TOR,PG
OG Anunoby,TOR,SF
Scottie Barnes,TOR,SF
Chris Boucher,TOR,C
Shai Gilgeous-Alexander,OKC,PG
Josh Giddey,OKC,PG
Luguentz Dort,OKC,SG
Chet Holmgren,OKC,C
Jalen Williams,OKC,SF
Julius Randle,NYK,PF
Jalen Brunson,NYK,PG
RJ Barrett,NYK,SG
Mitchell Robinson,NYK,C
Julius Randle,NYK,PF
Bam Adebayo,MIA,C
Jalen Green,HOU,SG
Kevin Porter Jr,HOU,SG
Jabari Smith,HOU,PF
Alperen Sengun,HOU,C
Jalen Green,HOU,SG
